year,municipality,department,total_cases
2013,JALAPA,JALAPA,127
2013,"GUALÁN",ZACAPA,125
2013,"SAN RAFAEL LAS FLORES","SANTA ROSA",125
2013,"NUEVA CONCEPCIÓN",ESCUINTLA,124
2013,"CAHABÓN","ALTA VERAPAZ",122
2013,"CAMOTÁN",CHIQUIMULA,118
2013,"SAN JERÓNIMO","BAJA VERAPAZ",117
2013,"SAN LUIS","EL PETEN",113
2013,"PUERTO DE SAN JOSÉ",ESCUINTLA,112
2013,MAZATENANGO,SUCHITEPEQUEZ,109
2013,"SANTA ROSA DE LIMA","SANTA ROSA",104
2013,DOLORES,"EL PETEN",100
2013,"LA DEMOCRACIA",HUEHUETENANGO,95
2013,"GÉNOVA",QUETZALTENANGO,87
2013,"NUEVA SANTA ROSA","SANTA ROSA",84
2013,"ASUNCIÓN MITA",JUTIAPA,82
2013,"PALÍN",ESCUINTLA,77
2013,COLOMBA,QUETZALTENANGO,74
2013,CUBULCO,"BAJA VERAPAZ",72
2013,BARBERENA,"SANTA ROSA",70
2013,"VILLA CANALES",GUATEMALA,69
2013,"JOCOTÁN",CHIQUIMULA,68
2013,LIVINGSTON,IZABAL,68
2013,CASILLAS,"SANTA ROSA",66
2013,"LOS AMATES",IZABAL,65
2013,"SAN LUIS JILOTEPEQUE",JALAPA,60
2013,CHAHAL,"ALTA VERAPAZ",54
2013,"EL PALMAR",QUETZALTENANGO,52
2013,ESQUIPULAS,CHIQUIMULA,52
2013,"SAN ANTONIO HUISTA",HUEHUETENANGO,51
2013,PANZOS,"ALTA VERAPAZ",51
2013,GUASTATOYA,"EL PROGRESO",50
2013,"SAN PEDRO AYAMPUC",GUATEMALA,50
2013,"EL CHAL","EL PETEN",50
2013,"SANTA ANA","EL PETEN",49
2013,"EL QUETZAL","SAN MARCOS",49
2013,"NUEVO SAN CARLOS",RETALHULEU,48
2013,"LA DEMOCRACIA",ESCUINTLA,47
2013,"SAN ANTONIO LA PAZ","EL PROGRESO",47
2013,"MELCHOR DE MENCOS","EL PETEN",46
2013,MORALES,IZABAL,44
2013,JACALTENANGO,HUEHUETENANGO,43
2013,"SALAMÁ","BAJA VERAPAZ",42
2013,"LA TINTA","ALTA VERAPAZ",40
2013,ORATORIO,"SANTA ROSA",38
2013,"SAN DIEGO",ZACAPA,38
2013,"SANTA ANA HUISTA",HUEHUETENANGO,36
2013,"SAN SEBASTIÁN",RETALHULEU,35
2013,"SAN CRISTÓBAL VERAPAZ","ALTA VERAPAZ",35
2013,"SAN BENITO","EL PETEN",34
2013,"FLORES COSTA CUCA",QUETZALTENANGO,34
2013,CUYOTENANGO,SUCHITEPEQUEZ,34
2013,"USUMATLÁN",ZACAPA,34
2013,"SAN LORENZO",SUCHITEPEQUEZ,34
2013,"HUITÉ",ZACAPA,34
2013,CUILCO,HUEHUETENANGO,33
2013,"EL PROGRESO",JUTIAPA,33
2013,"EL ASINTAL",RETALHULEU,32
2013,"SANTA CRUZ NARANJO","SANTA ROSA",32
2013,"SAN ANTONIO AGUAS CALIENTES",SACATEPEQUEZ,31
2013,"NUEVO PROGRESO","SAN MARCOS",31
2013,"CONCEPCIÓN LAS MINAS",CHIQUIMULA,30
2013,PAJAPITA,"SAN MARCOS",30
2013,CHAMPERICO,RETALHULEU,28
2013,"OCÓS","SAN MARCOS",27
2013,PALENCIA,GUATEMALA,27
2013,"CABAÑAS",ZACAPA,27
2013,AYUTLA,"SAN MARCOS",25
2013,"SANTA CRUZ MULÚA",RETALHULEU,25
